HourlyWindDirection,HourlyWindSpeed
300,10
300,8
310,8
310,10
310,13
310,13
310,10
310,9
300,7
300,7
300,9
310,9
310,9
300,8
310,8
310,10
300,10
310,9
300,9
300,9
310,9
310,9
310,8
310,7
320,7
310,9
310,7
310,9
310,8
320,8
310,9
310,10
320,11
320,13
300,10
300,10
310,10
290,9
320,11
310,11
310,9
310,10
320,13
300,11
300,11
310,11
310,15
310,11
300,10
310,9
300,9
310,8
300,10
310,13
320,11
310,10
310,13
310,13
320,11
310,11
310,14
300,10
300,10
310,11
320,10
320,9
300,8
320,7
320,8
310,8
320,8
330,9
,
320,9
310,9
320,9
330,10
320,9
320,11
310,9
320,9
310,8
330,6
320,8
320,7
320,7
320,7
330,6
320,5
010,6
020,8
010,6
340,6
010,7
300,5
000,0
310,3
320,6
360,6
340,5
010,7
360,3
340,6
330,5
300,3
310,5
310,3
300,5
320,3
000,0
000,0
000,0
330,5
340,5
320,3
320,3
330,6
320,3
310,5
330,5
350,5
350,5
340,5
360,3
360,3
000,0
330,5
360,3
010,6
010,6
010,7
310,3
310,5
000,0
360,3
040,6
010,6
020,7
030,7
030,7
050,7
040,5
000,0
000,0
000,0
,
000,0
020,3
000,0
000,0
000,0
000,0
000,0
000,0
000,0
030,3
000,0
000,0
000,0
040,3
040,3
000,0
000,0
000,0
000,0
340,3
350,3
000,0
000,0
000,0
020,5
030,3
020,3
030,3
030,5
340,3
340,3
350,3
330,3
000,0
030,6
040,7
030,6
020,5
020,6
020,6
360,5
350,6
340,6
360,6
330,8
320,8
320,6
330,8
310,6
310,8
320,6
330,7
330,6
340,7
340,8
330,6
330,7
330,8
330,7
350,7
320,5
340,6
340,6
330,6
330,7
340,7
340,7
330,7
330,7
330,7
320,8
330,8
330,9
320,8
330,9
330,9
320,8
330,7
330,8
320,8
320,6
310,7
320,7
320,8
320,6
320,7
330,7
340,8
330,7
340,8
330,8
340,8
320,7
320,7
330,7
330,5
350,5
330,5
320,6
320,8
330,9
320,8
330,8
320,7
310,7
350,7
330,7
340,6
330,9
330,9
310,10
320,9
320,10
340,9
330,10
310,9
310,11
310,11
320,14
310,10
300,10
310,10
320,8
310,9
310,9
320,8
320,7
320,9
310,8
320,8
320,8
330,9
330,9
320,9
320,8
320,8
310,8
320,10
320,8
310,7
320,7
330,7
320,9
320,9
320,9
320,9
320,7
320,9
310,10
320,8
320,8
320,8
330,8
330,8
330,8
340,8
330,8
320,8
320,8
330,7
320,7
320,9
320,9
320,7
330,7
340,5
330,8
330,7
340,6
350,6
360,5
330,7
340,7
310,10
310,8
330,8
330,7
320,7
010,3
310,3
310,7
320,7
310,3
310,6
310,8
310,9
310,10
310,8
330,9
310,8
310,7
340,8
310,7
320,6
330,6
320,6
320,5
330,3
340,3
320,5
330,3
340,3
320,3
000,0
340,3
350,3
310,5
320,5
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
010,3
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
010,3
000,0
030,3
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
070,3
000,0
000,0
000,0
000,0
000,0
000,0
070,3
090,3
110,3
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
000,0
310,3
000,0
360,3
340,5
330,3
320,7
320,6
330,5
340,5
340,3
350,5
020,5
020,6
040,8
040,11
040,8
040,5
040,6
040,6
030,6
020,6
020,8
360,6
010,8
010,6
360,6
010,6
010,7
,
010,7
010,6
010,8
360,5
010,8
010,6
360,5
010,7
010,9
360,6
010,9
360,9
360,7
360,11
350,11
350,9
350,14
350,13
350,14
350,14
350,15
350,15
350,16
350,14
340,16
350,16
350,15
350,14
350,15
350,17
340,18
340,18
340,20
350,17
350,17
350,15
340,17
350,18
340,20
340,20
330,23
340,21
340,17
330,21
330,24
330,18
330,20
330,22
330,17
330,18
330,16
330,14
330,16
330,16
330,20
320,17
320,20
330,20
330,16
330,21
330,21
330,16
330,20
330,16
330,18
330,17
320,14
330,16
330,16
330,17
330,17
330,18
,
330,15
330,15
320,15
330,15
290,13
310,14
320,15
320,15
320,16
330,15
320,15
310,13
320,15
320,13
320,14
320,16
320,16
320,13
310,14
320,14
320,16
320,14
320,14
310,14
320,13
310,13
320,14
320,13
320,13
320,14
