HourlyWindDirection,HourlyWindSpeed,PrevHourlyWindDirection,PrevHourlyWindSpeed,TimeOfDay,TimeOfYear
300,10,*,*,0.0104166666666667,2.85388127853881e-005
300,8,300,10,0.0243055555555556,6.65905631659056e-005
310,8,300,8,0.0381944444444444,0.000104642313546423
310,10,310,8,0.0520833333333333,0.000142694063926941
310,13,310,10,0.0659722222222222,0.000180745814307458
310,13,310,13,0.0798611111111111,0.000218797564687976
310,10,310,13,0.09375,0.000256849315068493
310,9,310,10,0.107638888888889,0.000294901065449011
300,7,310,9,0.121527777777778,0.000332952815829528
300,7,300,7,0.135416666666667,0.000371004566210046
300,9,300,7,0.149305555555556,0.000409056316590563
310,9,300,9,0.163194444444444,0.000447108066971081
310,9,310,9,0.177083333333333,0.000485159817351598
300,8,310,9,0.190972222222222,0.000523211567732116
310,8,300,8,0.204861111111111,0.000561263318112633
310,10,310,8,0.21875,0.000599315068493151
300,10,310,10,0.232638888888889,0.000637366818873668
310,9,300,10,0.246527777777778,0.000675418569254186
300,9,310,9,0.260416666666667,0.000713470319634703
300,9,300,9,0.274305555555556,0.000751522070015221
310,9,300,9,0.288194444444444,0.000789573820395738
310,9,310,9,0.302083333333333,0.000827625570776256
310,8,310,9,0.315972222222222,0.000865677321156773
310,7,310,8,0.329861111111111,0.000903729071537291
320,7,310,7,0.34375,0.000941780821917808
310,9,320,7,0.357638888888889,0.000979832572298326
310,7,310,9,0.371527777777778,0.00101788432267884
310,9,310,7,0.385416666666667,0.00105593607305936
310,8,310,9,0.399305555555556,0.00109398782343988
320,8,310,8,0.413194444444444,0.0011320395738204
310,9,320,8,0.427083333333333,0.00117009132420091
310,10,310,9,0.440972222222222,0.00120814307458143
320,11,310,10,0.454861111111111,0.00124619482496195
320,13,320,11,0.46875,0.00128424657534247
300,10,320,13,0.482638888888889,0.00132229832572298
300,10,300,10,0.496527777777778,0.0013603500761035
310,10,300,10,0.510416666666667,0.00139840182648402
290,9,310,10,0.524305555555556,0.00143645357686454
320,11,290,9,0.538194444444444,0.00147450532724505
310,11,320,11,0.552083333333333,0.00151255707762557
310,9,310,11,0.565972222222222,0.00155060882800609
310,10,310,9,0.579861111111111,0.00158866057838661
320,13,310,10,0.59375,0.00162671232876712
300,11,320,13,0.607638888888889,0.00166476407914764
