HourlyWindDirection,HourlyWindSpeed,PrevHourlyWindDirection,PrevHourlyWindSpeed
300,10,300,8
300,8,310,8
310,8,310,10
310,10,310,13
310,13,310,13
310,13,310,10
310,10,310,9
310,9,300,7
300,7,300,7
300,7,300,9
300,9,310,9
310,9,310,9
310,9,300,8
300,8,310,8
310,8,310,10
310,10,300,10
300,10,310,9
310,9,300,9
300,9,300,9
300,9,310,9
310,9,310,9
310,9,310,8
310,8,310,7
310,7,320,7
320,7,310,9
310,9,310,7
310,7,310,9
310,9,310,8
310,8,320,8
320,8,310,9
310,9,310,10
310,10,320,11
320,11,320,13
320,13,300,10
300,10,300,10
300,10,310,10
310,10,290,9
290,9,320,11
320,11,310,11
310,11,310,9
310,9,310,10
310,10,320,13
320,13,300,11
300,11,300,11
300,11,310,11
310,11,310,15
310,15,310,11
310,11,300,10
300,10,310,9
310,9,300,9
300,9,310,8
310,8,300,10
300,10,310,13
310,13,320,11
320,11,310,10
310,10,310,13
310,13,310,13
310,13,320,11
320,11,310,11
310,11,310,14
310,14,300,10
300,10,300,10
300,10,310,11
310,11,320,10
320,10,320,9
320,9,300,8
300,8,320,7
320,7,320,8
320,8,310,8
310,8,320,8
320,8,330,9
330,9,#N/A,#N/A
#N/A,#N/A,320,9
320,9,310,9
310,9,320,9
320,9,330,10
330,10,320,9
320,9,320,11
320,11,310,9
310,9,320,9
320,9,310,8
310,8,330,6
330,6,320,8
320,8,320,7
320,7,320,7
320,7,320,7
320,7,330,6
330,6,320,5
320,5,10,6
10,6,20,8
20,8,10,6
10,6,340,6
340,6,10,7
10,7,300,5
300,5,0,0
0,0,310,3
310,3,320,6
320,6,360,6
360,6,340,5
340,5,10,7
10,7,360,3
360,3,340,6
340,6,330,5
330,5,300,3
300,3,310,5
310,5,310,3
310,3,300,5
300,5,320,3
320,3,0,0
0,0,0,0
0,0,0,0
0,0,330,5
330,5,340,5
340,5,320,3
320,3,320,3
320,3,330,6
330,6,320,3
320,3,310,5
310,5,330,5
330,5,350,5
350,5,350,5
350,5,340,5
340,5,360,3
360,3,360,3
360,3,0,0
0,0,330,5
330,5,360,3
360,3,10,6
10,6,10,6
10,6,10,7
10,7,310,3
310,3,310,5
310,5,0,0
0,0,360,3
360,3,40,6
40,6,10,6
10,6,20,7
20,7,30,7
30,7,30,7
30,7,50,7
50,7,40,5
40,5,0,0
0,0,0,0
0,0,0,0
0,0,#N/A,#N/A
#N/A,#N/A,0,0
0,0,20,3
20,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,30,3
30,3,0,0
0,0,0,0
0,0,0,0
0,0,40,3
40,3,40,3
40,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,340,3
340,3,350,3
350,3,0,0
0,0,0,0
0,0,0,0
0,0,20,5
20,5,30,3
30,3,20,3
20,3,30,3
30,3,30,5
30,5,340,3
340,3,340,3
340,3,350,3
350,3,330,3
330,3,0,0
0,0,30,6
30,6,40,7
40,7,30,6
30,6,20,5
20,5,20,6
20,6,20,6
20,6,360,5
360,5,350,6
350,6,340,6
340,6,360,6
360,6,330,8
330,8,320,8
320,8,320,6
320,6,330,8
330,8,310,6
310,6,310,8
310,8,320,6
320,6,330,7
330,7,330,6
330,6,340,7
340,7,340,8
340,8,330,6
330,6,330,7
330,7,330,8
330,8,330,7
330,7,350,7
350,7,320,5
320,5,340,6
340,6,340,6
340,6,330,6
330,6,330,7
330,7,340,7
340,7,340,7
340,7,330,7
330,7,330,7
330,7,330,7
330,7,320,8
320,8,330,8
330,8,330,9
330,9,320,8
320,8,330,9
330,9,330,9
330,9,320,8
320,8,330,7
330,7,330,8
330,8,320,8
320,8,320,6
320,6,310,7
310,7,320,7
320,7,320,8
320,8,320,6
320,6,320,7
320,7,330,7
330,7,340,8
340,8,330,7
330,7,340,8
340,8,330,8
330,8,340,8
340,8,320,7
320,7,320,7
320,7,330,7
330,7,330,5
330,5,350,5
350,5,330,5
330,5,320,6
320,6,320,8
320,8,330,9
330,9,320,8
320,8,330,8
330,8,320,7
320,7,310,7
310,7,350,7
350,7,330,7
330,7,340,6
340,6,330,9
330,9,330,9
330,9,310,10
310,10,320,9
320,9,320,10
320,10,340,9
340,9,330,10
330,10,310,9
310,9,310,11
310,11,310,11
310,11,320,14
320,14,310,10
310,10,300,10
300,10,310,10
310,10,320,8
320,8,310,9
310,9,310,9
310,9,320,8
320,8,320,7
320,7,320,9
320,9,310,8
310,8,320,8
320,8,320,8
320,8,330,9
330,9,330,9
330,9,320,9
320,9,320,8
320,8,320,8
320,8,310,8
310,8,320,10
320,10,320,8
320,8,310,7
310,7,320,7
320,7,330,7
330,7,320,9
320,9,320,9
320,9,320,9
320,9,320,9
320,9,320,7
320,7,320,9
320,9,310,10
310,10,320,8
320,8,320,8
320,8,320,8
320,8,330,8
330,8,330,8
330,8,330,8
330,8,340,8
340,8,330,8
330,8,320,8
320,8,320,8
320,8,330,7
330,7,320,7
320,7,320,9
320,9,320,9
320,9,320,7
320,7,330,7
330,7,340,5
340,5,330,8
330,8,330,7
330,7,340,6
340,6,350,6
350,6,360,5
360,5,330,7
330,7,340,7
340,7,310,10
310,10,310,8
310,8,330,8
330,8,330,7
330,7,320,7
320,7,10,3
10,3,310,3
310,3,310,7
310,7,320,7
320,7,310,3
310,3,310,6
310,6,310,8
310,8,310,9
310,9,310,10
310,10,310,8
310,8,330,9
330,9,310,8
310,8,310,7
310,7,340,8
340,8,310,7
310,7,320,6
320,6,330,6
330,6,320,6
320,6,320,5
320,5,330,3
330,3,340,3
340,3,320,5
320,5,330,3
330,3,340,3
340,3,320,3
320,3,0,0
0,0,340,3
340,3,350,3
350,3,310,5
310,5,320,5
320,5,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,3
10,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,10,3
10,3,0,0
0,0,30,3
30,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,70,3
70,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,70,3
70,3,90,3
90,3,110,3
110,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,310,3
310,3,0,0
0,0,360,3
360,3,340,5
340,5,330,3
330,3,320,7
320,7,320,6
320,6,330,5
330,5,340,5
340,5,340,3
340,3,350,5
350,5,20,5
20,5,20,6
20,6,40,8
40,8,40,11
40,11,40,8
40,8,40,5
40,5,40,6
40,6,40,6
40,6,30,6
30,6,20,6
20,6,20,8
20,8,360,6
360,6,10,8
10,8,10,6
10,6,360,6
360,6,10,6
10,6,10,7
10,7,#N/A,#N/A
#N/A,#N/A,10,7
10,7,10,6
10,6,10,8
10,8,360,5
360,5,10,8
10,8,10,6
10,6,360,5
360,5,10,7
10,7,10,9
10,9,360,6
360,6,10,9
10,9,360,9
360,9,360,7
360,7,360,11
360,11,350,11
350,11,350,9
350,9,350,14
350,14,350,13
350,13,350,14
350,14,350,14
350,14,350,15
350,15,350,15
350,15,350,16
350,16,350,14
350,14,340,16
340,16,350,16
350,16,350,15
350,15,350,14
350,14,350,15
350,15,350,17
350,17,340,18
340,18,340,18
340,18,340,20
340,20,350,17
350,17,350,17
350,17,350,15
350,15,340,17
340,17,350,18
350,18,340,20
340,20,340,20
340,20,330,23
330,23,340,21
340,21,340,17
340,17,330,21
330,21,330,24
330,24,330,18
330,18,330,20
330,20,330,22
330,22,330,17
330,17,330,18
330,18,330,16
330,16,330,14
330,14,330,16
330,16,330,16
330,16,330,20
330,20,320,17
320,17,320,20
320,20,330,20
330,20,330,16
330,16,330,21
330,21,330,21
330,21,330,16
330,16,330,20
330,20,330,16
330,16,330,18
330,18,330,17
330,17,320,14
320,14,330,16
330,16,330,16
330,16,330,17
330,17,330,17
330,17,330,18
330,18,#N/A,#N/A
#N/A,#N/A,330,15
330,15,330,15
330,15,320,15
320,15,330,15
330,15,290,13
290,13,310,14
310,14,320,15
320,15,320,15
320,15,320,16
320,16,330,15
330,15,320,15
320,15,310,13
310,13,320,15
320,15,320,13
320,13,320,14
320,14,320,16
320,16,320,16
320,16,320,13
320,13,310,14
310,14,320,14
320,14,320,16
320,16,320,14
320,14,320,14
320,14,310,14
310,14,320,13
320,13,310,13
310,13,320,14
320,14,320,13
320,13,320,13
320,13,320,14
320,14,320,16
320,16,320,14
320,14,320,10
320,10,330,11
330,11,320,14
320,14,310,14
310,14,310,13
310,13,310,13
310,13,310,13
310,13,310,14
310,14,310,11
310,11,310,11
310,11,310,10
310,10,310,11
310,11,320,11
320,11,300,10
300,10,310,11
310,11,310,9
310,9,310,10
310,10,300,11
300,11,310,10
310,10,310,10
310,10,310,8
310,8,320,9
320,9,310,8
310,8,310,10
310,10,320,11
320,11,310,13
310,13,320,10
320,10,320,9
320,9,320,9
320,9,320,7
320,7,310,6
310,6,320,7
320,7,320,3
320,3,320,6
320,6,320,8
320,8,320,7
320,7,320,7
320,7,320,6
320,6,330,6
330,6,320,6
320,6,#N/A,#N/A
#N/A,#N/A,320,6
320,6,330,6
330,6,0,0
0,0,330,6
330,6,320,3
320,3,330,3
330,3,330,3
330,3,320,3
320,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,340,5
340,5,330,5
330,5,330,5
330,5,310,3
310,3,320,3
320,3,320,6
320,6,0,0
0,0,330,3
330,3,330,3
330,3,0,0
0,0,0,0
0,0,0,0
0,0,330,3
330,3,0,0
0,0,0,0
0,0,330,3
330,3,0,0
0,0,300,3
300,3,320,3
320,3,320,3
320,3,0,0
0,0,330,3
330,3,320,3
320,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,190,3
190,3,190,5
190,5,210,6
210,6,200,6
200,6,200,6
200,6,200,3
200,3,210,5
210,5,210,3
210,3,250,5
250,5,220,6
220,6,210,3
210,3,230,3
230,3,220,3
220,3,220,3
220,3,200,3
200,3,190,3
190,3,190,6
190,6,190,6
190,6,180,6
180,6,180,7
180,7,190,5
190,5,180,6
180,6,170,5
170,5,180,5
180,5,190,7
190,7,200,6
200,6,190,7
190,7,190,6
190,6,200,6
200,6,180,7
180,7,190,7
190,7,180,7
180,7,190,8
190,8,180,8
180,8,180,7
180,7,170,7
170,7,180,7
180,7,180,8
180,8,180,7
180,7,180,9
180,9,180,8
180,8,180,10
180,10,180,7
180,7,180,11
180,11,180,8
180,8,180,10
180,10,180,10
180,10,180,10
180,10,180,8
180,8,180,9
180,9,180,10
180,10,180,9
180,9,180,10
180,10,180,11
180,11,180,11
180,11,180,11
180,11,180,13
180,13,180,13
180,13,190,15
190,15,200,15
200,15,200,16
200,16,200,17
200,17,200,17
200,17,200,16
200,16,200,15
200,15,200,16
200,16,210,18
210,18,210,18
210,18,220,17
220,17,220,21
220,21,210,16
210,16,210,15
210,15,210,16
210,16,220,17
220,17,220,14
220,14,210,10
210,10,200,10
200,10,230,11
230,11,220,11
220,11,220,8
220,8,220,9
220,9,220,7
220,7,230,7
230,7,230,5
230,5,220,6
220,6,220,6
220,6,230,6
230,6,240,6
240,6,240,3
240,3,240,3
240,3,0,0
0,0,0,0
0,0,0,0
0,0,290,5
